Strike Rate,Category
0,Very Poor
1,Very Poor
2,Very Poor
3,Very Poor
4,Very Poor
5,Very Poor
6,Very Poor
7,Very Poor
8,Very Poor
9,Very Poor
10,Very Poor
11,Very Poor
12,Very Poor
13,Very Poor
14,Very Poor
15,Very Poor
16,Very Poor
17,Very Poor
18,Very Poor
19,Very Poor
20,Very Poor
21,Very Poor
22,Very Poor
23,Very Poor
24,Very Poor
25,Very Poor
26,Very Poor
27,Very Poor
28,Very Poor
29,Very Poor
30,Very Poor
31,Very Poor
32,Very Poor
33,Very Poor
34,Very Poor
35,Very Poor
36,Very Poor
37,Very Poor
38,Very Poor
39,Very Poor
40,Very Poor
41,Very Poor
42,Very Poor
43,Very Poor
44,Very Poor
45,Very Poor
46,Very Poor
47,Very Poor
48,Very Poor
49,Very Poor
50,Very Poor
51,Poor
52,Poor
53,Poor
54,Poor
55,Poor
56,Poor
57,Poor
58,Poor
59,Poor
60,Poor
61,Poor
62,Poor
63,Poor
64,Poor
65,Poor
66,Poor
67,Poor
68,Poor
69,Poor
70,Poor
71,Poor
72,Poor
73,Poor
74,Poor
75,Poor
76,Average
77,Average
78,Average
79,Average
80,Average
81,Average
82,Average
83,Average
84,Average
85,Average
86,Average
87,Average
88,Average
89,Average
90,Average
91,Average
92,Average
93,Average
94,Average
95,Average
96,Average
97,Average
98,Average
99,Average
100,Average
101,Good
102,Good
103,Good
104,Good
105,Good
106,Good
107,Good
108,Good
109,Good
110,Good
111,Good
112,Good
113,Good
114,Good
115,Good
116,Good
117,Good
118,Good
119,Good
120,Good
121,Good
122,Good
123,Good
124,Good
125,Good
126,Very Good
127,Very Good
128,Very Good
129,Very Good
130,Very Good
131,Very Good
132,Very Good
133,Very Good
134,Very Good
135,Very Good
136,Very Good
137,Very Good
138,Very Good
139,Very Good
140,Very Good
141,Very Good
142,Very Good
143,Very Good
144,Very Good
145,Very Good
146,Very Good
147,Very Good
148,Very Good
149,Very Good
150,Very Good
151,Excellent
152,Excellent
153,Excellent
154,Excellent
155,Excellent
156,Excellent
157,Excellent
158,Excellent
159,Excellent
160,Excellent
161,Excellent
162,Excellent
163,Excellent
164,Excellent
165,Excellent
166,Excellent
167,Excellent
168,Excellent
169,Excellent
170,Excellent
171,Excellent
172,Excellent
173,Excellent
174,Excellent
175,Excellent
176,Exceptional
177,Exceptional
178,Exceptional
179,Exceptional
180,Exceptional
181,Exceptional
182,Exceptional
183,Exceptional
184,Exceptional
185,Exceptional
186,Exceptional
187,Exceptional
188,Exceptional
189,Exceptional
190,Exceptional
191,Exceptional
192,Exceptional
193,Exceptional
194,Exceptional
195,Exceptional
196,Exceptional
197,Exceptional
198,Exceptional
199,Exceptional
200,Exceptional
